#Header: Date:22/04/2021 19:54:31; freq_file_name:StringFreqCorpus.csv; tokenFreqPckg-version:V1.0; Num of Keys:1057765,,,,
WORD,FREQ,FREQ_LOG,COMPLEX,LENGTH
בשקט,165,32.17,0,4
החדר,165,32.17,0,4
ארוך,165,32.17,0,4
נדמה,165,32.17,0,4
מסוים,164,32.15,0,5
לחדר,164,32.15,0,4
שבוע,163,32.12,0,4
עולם,163,32.12,0,4
נוספת,163,32.12,0,5
איזו,163,32.12,0,4
אילו,163,32.12,0,4
חברת,163,32.12,0,4
מחדש,163,32.12,0,4
נעשה,162,32.1,0,4
ארוכה,162,32.1,0,5
הלא,162,32.1,0,3
האחרונים,162,32.1,0,8
אמי,161,32.07,0,3
המצב,160,32.04,0,4
אוכל,160,32.04,0,4
חברים,160,32.04,0,5
שחור,159,32.01,0,4
גבר,159,32.01,0,3
בפני,159,32.01,0,4
הערב,159,32.01,0,4
העובדה,159,32.01,0,6
בשלב,159,32.01,0,4
גברים,159,32.01,0,5
צריכים,159,32.01,0,6
לעבוד,158,31.99,0,5
ובכל,158,31.99,0,4
רואים,158,31.99,0,5
זוכר,157,31.96,0,4
חי,157,31.96,0,2
קדימה,157,31.96,0,5
הימים,157,31.96,0,5
מלחמת,157,31.96,0,5
הנשים,156,31.93,0,5
למעלה,156,31.93,0,5
שמע,156,31.93,0,3
אתו,156,31.93,0,3
צל,155,31.9,0,2
מידע,155,31.9,0,4
להן,155,31.9,0,3
התחיל,155,31.9,0,5
בשנה,155,31.9,0,4
חברי,155,31.9,0,4
ים,155,31.9,0,2
ושל,154,31.88,0,3
שבע,154,31.88,0,3
עבור,154,31.88,0,4
להיכנס,154,31.88,0,6
שרק,154,31.88,0,3
משם,154,31.88,0,3
תהליך,153,31.85,0,5
בעבר,153,31.85,0,4
ללמוד,153,31.85,0,5
באה,153,31.85,0,3
חולים,152,31.82,0,5
עין,152,31.82,0,3
הצהריים,152,31.82,0,7
חדשה,152,31.82,0,4
האדמה,152,31.82,0,5
הבעיה,151,31.79,0,5
בעיר,151,31.79,0,4
מיוחד,151,31.79,0,5
היהודים,151,31.79,0,7
בינתיים,151,31.79,0,7
קפה,151,31.79,0,3
בוא,150,31.76,0,3
עיניה,150,31.76,0,5
למקום,150,31.76,0,5
בפעם,150,31.76,0,4
נוספים,150,31.76,0,6
כיוון,150,31.76,0,5
משה,149,31.73,0,3
חיי,149,31.73,0,3
העץ,149,31.73,0,3
גדולים,149,31.73,0,6
אחריו,148,31.7,0,5
לקראת,148,31.7,0,5
לקחת,148,31.7,0,4
לבוא,148,31.7,0,4
לישון,148,31.7,0,5
להמשיך,148,31.7,0,6
באוויר,148,31.7,0,6
כגון,148,31.7,0,4
המשפט,148,31.7,0,5
שינה,147,31.67,0,4
לבד,147,31.67,0,3
והיה,147,31.67,0,4
שקט,147,31.67,0,3
פתח,146,31.64,0,3
עברו,146,31.64,0,4
משנה,146,31.64,0,4
משרד,146,31.64,0,4
קוראים,146,31.64,0,6
הלב,146,31.64,0,3
נשאר,146,31.64,0,4
היית,146,31.64,0,4
לעמוד,146,31.64,0,5
לחיות,146,31.64,0,5
גברת,146,31.64,0,4
ושם,145,31.61,0,3
מאוחר,145,31.61,0,5
שימוש,145,31.61,0,5
דניאל,145,31.61,0,5
בשבוע,145,31.61,0,5
הישראלית,145,31.61,0,8
דוד,145,31.61,0,3
רחוק,144,31.58,0,4
אשה,144,31.58,0,3
במצב,144,31.58,0,4
בשעות,144,31.58,0,5
צעיר,144,31.58,0,4
אמו,143,31.55,0,3
ניסה,143,31.55,0,4
הצעיר,143,31.55,0,5
פניה,143,31.55,0,4
כולו,143,31.55,0,4
יושב,143,31.55,0,4
האור,143,31.55,0,4
מנת,143,31.55,0,3
בנו,143,31.55,0,3
סיפר,143,31.55,0,4
מזון,143,31.55,0,4
וכן,142,31.52,0,3
עלינו,142,31.52,0,5
אבן,142,31.52,0,3
מגיע,142,31.52,0,4
החלון,142,31.52,0,5
לאכול,142,31.52,0,5
חומר,142,31.52,0,4
בחוץ,142,31.52,0,4
לכתוב,142,31.52,0,5
כזאת,142,31.52,0,4
בניגוד,142,31.52,0,6
מוכן,141,31.49,0,4
עמוק,141,31.49,0,4
מתחיל,141,31.49,0,5
הראשונים,141,31.49,0,8
שמונה,140,31.46,0,5
אלפי,140,31.46,0,4
ארבעה,140,31.46,0,5
בערב,140,31.46,0,4
למען,140,31.46,0,4
לאחור,140,31.46,0,5
בשנות,139,31.43,0,5
עמדה,139,31.43,0,4
איראן,139,31.43,0,5
העם,139,31.43,0,3
השינה,139,31.43,0,5
הגיעה,139,31.43,0,5
הביט,138,31.4,1,4
סוג,138,31.4,0,3
חברות,138,31.4,0,5
דלת,138,31.4,0,3
שיהיה,138,31.4,0,5
האישה,138,31.4,0,5
לישראל,137,31.37,0,6
חסר,137,31.37,0,3
האחרים,136,31.34,0,6
בעזרת,136,31.34,0,5
כולל,136,31.34,0,4
פעולה,136,31.34,0,5
אלוהים,136,31.34,0,6
בתל,135,31.3,0,3
בגין,135,31.3,1,4
שמעתי,135,31.3,0,5
שאינו,135,31.3,0,5
פנימה,135,31.3,0,5
ייתכן,135,31.3,0,5
הפך,135,31.3,0,3
נהג,134,31.27,0,3
כשהיא,134,31.27,0,5
אליהם,134,31.27,0,5
שצריך,134,31.27,0,5
השם,134,31.27,0,3
לבסוף,134,31.27,0,5
בעלה,133,31.24,0,4
שש,133,31.24,0,2
מכיוון,133,31.24,0,6
יוכל,133,31.24,0,4
תוכנית,132,31.21,0,6
המשחק,132,31.21,0,5
מצא,132,31.21,0,3
ועם,132,31.21,0,3
יהודים,132,31.21,0,6
שבועות,131,31.17,0,6
החוף,131,31.17,0,4
שנתיים,131,31.17,0,6
יורק,131,31.17,0,4
מעלה,131,31.17,0,4
מסוגל,131,31.17,0,5
המוות,131,31.17,0,5
כעבור,131,31.17,0,5
היחידה,131,31.17,0,6
עשרים,130,31.14,0,5
היד,130,31.14,0,3
שעבר,130,31.14,0,4
שאפשר,130,31.14,0,5
הכסף,130,31.14,0,4
